,index,Accuracy,Features Count,DE Accuracy,GA Features Count,KBDE Accuracy,KBDE Features Count
0,Amazon,"[0.776, 0.8, 0.772, 0.648, 0.78, 0.756, 0.796]",1763,"[0.836, 0.824, 0.796, 0.712, 0.864, 0.796, 0.824]",1313,"[0.832, 0.836, 0.788, 0.656, 0.856, 0.808, 0.836]",601
1,IMDB,"[0.933, 0.952, 0.941, 0.733, 0.949, 0.912, 0.893]",1763,"[0.947, 0.976, 0.965, 0.725, 0.96, 0.93, 0.917]",1978,"[0.922, 0.965, 0.955, 0.754, 0.92, 0.906, 0.848]",950
2,Yelp,"[0.776, 0.704, 0.684, 0.664, 0.776, 0.756, 0.764]",1763,"[0.8, 0.736, 0.648, 0.604, 0.8, 0.788, 0.788]",1453,"[0.812, 0.808, 0.756, 0.648, 0.816, 0.772, 0.78]",678
