,0,1,2,3,4,5,6
0,"(array([0.7443609 , 0.81196581]), array([0.81818182, 0.73643411]), array([0.77952756, 0.77235772]), array([121, 129]))","(array([0.76296296, 0.84347826]), array([0.85123967, 0.75193798]), array([0.8046875 , 0.79508197]), array([121, 129]))","(array([0.75      , 0.79508197]), array([0.79338843, 0.75193798]), array([0.77108434, 0.77290837]), array([121, 129]))","(array([0.66019417, 0.63945578]), array([0.56198347, 0.72868217]), array([0.60714286, 0.68115942]), array([121, 129]))","(array([0.7704918, 0.7890625]), array([0.7768595 , 0.78294574]), array([0.77366255, 0.78599222]), array([121, 129]))","(array([0.7027027 , 0.83333333]), array([0.85950413, 0.65891473]), array([0.7732342 , 0.73593074]), array([121, 129]))","(array([0.83018868, 0.77083333]), array([0.72727273, 0.86046512]), array([0.7753304 , 0.81318681]), array([121, 129]))"
1,"(array([0.89673913, 0.96842105]), array([0.96491228, 0.90640394]), array([0.92957746, 0.93638677]), array([171, 203]))","(array([0.91351351, 0.98941799]), array([0.98830409, 0.92118227]), array([0.9494382 , 0.95408163]), array([171, 203]))","(array([0.89417989, 0.98918919]), array([0.98830409, 0.90147783]), array([0.93888889, 0.94329897]), array([171, 203]))","(array([0.70760234, 0.75369458]), array([0.70760234, 0.75369458]), array([0.70760234, 0.75369458]), array([171, 203]))","(array([0.92222222, 0.9742268 ]), array([0.97076023, 0.93103448]), array([0.94586895, 0.95214106]), array([171, 203]))","(array([0.86702128, 0.95698925]), array([0.95321637, 0.87684729]), array([0.90807799, 0.9151671 ]), array([171, 203]))","(array([0.85026738, 0.93582888]), array([0.92982456, 0.86206897]), array([0.88826816, 0.8974359 ]), array([171, 203]))"
2,"(array([0.76470588, 0.78947368]), array([0.8125    , 0.73770492]), array([0.78787879, 0.76271186]), array([128, 122]))","(array([0.6626506 , 0.78571429]), array([0.859375  , 0.54098361]), array([0.74829932, 0.6407767 ]), array([128, 122]))","(array([0.66666667, 0.70873786]), array([0.765625  , 0.59836066]), array([0.71272727, 0.64888889]), array([128, 122]))","(array([0.63253012, 0.72619048]), array([0.8203125, 0.5      ]), array([0.71428571, 0.59223301]), array([128, 122]))","(array([0.76865672, 0.78448276]), array([0.8046875 , 0.74590164]), array([0.78625954, 0.76470588]), array([128, 122]))","(array([0.70807453, 0.84269663]), array([0.890625 , 0.6147541]), array([0.78892734, 0.71090047]), array([128, 122]))","(array([0.79487179, 0.73684211]), array([0.7265625 , 0.80327869]), array([0.75918367, 0.76862745]), array([128, 122]))"
