,0,1,2,3,4,5,6
0,"(array([0.80620155, 0.85950413]), array([0.85950413, 0.80620155]), array([0.832, 0.832]), array([121, 129]))","(array([0.89215686, 0.7972973 ]), array([0.75206612, 0.91472868]), array([0.8161435 , 0.85198556]), array([121, 129]))","(array([0.83333333, 0.75675676]), array([0.70247934, 0.86821705]), array([0.76233184, 0.80866426]), array([121, 129]))","(array([0.73333333, 0.62285714]), array([0.45454545, 0.84496124]), array([0.56122449, 0.71710526]), array([121, 129]))","(array([0.84 , 0.872]), array([0.8677686 , 0.84496124]), array([0.85365854, 0.85826772]), array([121, 129]))","(array([0.75172414, 0.88571429]), array([0.90082645, 0.72093023]), array([0.81954887, 0.79487179]), array([121, 129]))","(array([0.85087719, 0.82352941]), array([0.80165289, 0.86821705]), array([0.82553191, 0.84528302]), array([121, 129]))"
1,"(array([0.89010989, 0.953125  ]), array([0.94736842, 0.90147783]), array([0.91784703, 0.92658228]), array([171, 203]))","(array([0.93888889, 0.98969072]), array([0.98830409, 0.94581281]), array([0.96296296, 0.96725441]), array([171, 203]))","(array([0.92777778, 0.97938144]), array([0.97660819, 0.93596059]), array([0.95156695, 0.95717884]), array([171, 203]))","(array([0.70050761, 0.81355932]), array([0.80701754, 0.70935961]), array([0.75      , 0.75789474]), array([171, 203]))","(array([0.8852459 , 0.95287958]), array([0.94736842, 0.89655172]), array([0.91525424, 0.92385787]), array([171, 203]))","(array([0.86956522, 0.94210526]), array([0.93567251, 0.8817734 ]), array([0.90140845, 0.91094148]), array([171, 203]))","(array([0.82022472, 0.87244898]), array([0.85380117, 0.84236453]), array([0.83667622, 0.85714286]), array([171, 203]))"
2,"(array([0.78723404, 0.8440367 ]), array([0.8671875 , 0.75409836]), array([0.82527881, 0.7965368 ]), array([128, 122]))","(array([0.79411765, 0.8245614 ]), array([0.84375  , 0.7704918]), array([0.81818182, 0.79661017]), array([128, 122]))","(array([0.75572519, 0.75630252]), array([0.7734375 , 0.73770492]), array([0.76447876, 0.74688797]), array([128, 122]))","(array([0.61494253, 0.72368421]), array([0.8359375 , 0.45081967]), array([0.70860927, 0.55555556]), array([128, 122]))","(array([0.79285714, 0.84545455]), array([0.8671875 , 0.76229508]), array([0.82835821, 0.80172414]), array([128, 122]))","(array([0.72327044, 0.85714286]), array([0.8984375 , 0.63934426]), array([0.80139373, 0.73239437]), array([128, 122]))","(array([0.81196581, 0.7518797 ]), array([0.7421875 , 0.81967213]), array([0.7755102 , 0.78431373]), array([128, 122]))"
