,0,1,2,3,4,5,6
0,"(array([0.80769231, 0.86666667]), array([0.8677686 , 0.80620155]), array([0.83665339, 0.83534137]), array([121, 129]))","(array([0.88888889, 0.78145695]), array([0.72727273, 0.91472868]), array([0.8       , 0.84285714]), array([121, 129]))","(array([0.78225806, 0.80952381]), array([0.80165289, 0.79069767]), array([0.79183673, 0.8       ]), array([121, 129]))","(array([0.71304348, 0.71111111]), array([0.67768595, 0.74418605]), array([0.69491525, 0.72727273]), array([121, 129]))","(array([0.848, 0.88 ]), array([0.87603306, 0.85271318]), array([0.86178862, 0.86614173]), array([121, 129]))","(array([0.73648649, 0.88235294]), array([0.90082645, 0.69767442]), array([0.81040892, 0.77922078]), array([121, 129]))","(array([0.88118812, 0.7852349 ]), array([0.73553719, 0.90697674]), array([0.8018018 , 0.84172662]), array([121, 129]))"
1,"(array([0.92655367, 0.96446701]), array([0.95906433, 0.93596059]), array([0.94252874, 0.95      ]), array([171, 203]))","(array([0.98795181, 0.96634615]), array([0.95906433, 0.99014778]), array([0.97329377, 0.97810219]), array([171, 203]))","(array([0.95930233, 0.97029703]), array([0.96491228, 0.96551724]), array([0.96209913, 0.96790123]), array([171, 203]))","(array([0.89534884, 0.67361111]), array([0.4502924 , 0.95566502]), array([0.59922179, 0.79022403]), array([171, 203]))","(array([0.94318182, 0.97474747]), array([0.97076023, 0.95073892]), array([0.95677233, 0.96259352]), array([171, 203]))","(array([0.90055249, 0.95854922]), array([0.95321637, 0.91133005]), array([0.92613636, 0.93434343]), array([171, 203]))","(array([0.88461538, 0.94791667]), array([0.94152047, 0.89655172]), array([0.9121813 , 0.92151899]), array([171, 203]))"
2,"(array([0.78676471, 0.81578947]), array([0.8359375 , 0.76229508]), array([0.81060606, 0.78813559]), array([128, 122]))","(array([0.77192982, 0.70588235]), array([0.6875    , 0.78688525]), array([0.72727273, 0.74418605]), array([128, 122]))","(array([0.67857143, 0.62318841]), array([0.59375   , 0.70491803]), array([0.63333333, 0.66153846]), array([128, 122]))","(array([0.67901235, 0.56804734]), array([0.4296875 , 0.78688525]), array([0.52631579, 0.65979381]), array([128, 122]))","(array([0.78676471, 0.81578947]), array([0.8359375 , 0.76229508]), array([0.81060606, 0.78813559]), array([128, 122]))","(array([0.74509804, 0.8556701 ]), array([0.890625  , 0.68032787]), array([0.8113879 , 0.75799087]), array([128, 122]))","(array([0.82608696, 0.75555556]), array([0.7421875 , 0.83606557]), array([0.781893  , 0.79377432]), array([128, 122]))"
