,index,Accuracy,GA Accuracy,KBGA Accuracy
0,Amazon,"[0.776, 0.8, 0.772, 0.648, 0.78, 0.756, 0.796]","[0.812, 0.756, 0.732, 0.66, 0.848, 0.8, 0.812]","[0.816, 0.824, 0.772, 0.652, 0.832, 0.784, 0.832]"
1,IMDB,"[0.933, 0.952, 0.941, 0.733, 0.949, 0.912, 0.893]","[0.92, 0.941, 0.93, 0.741, 0.949, 0.936, 0.92]","[0.939, 0.965, 0.949, 0.733, 0.944, 0.922, 0.909]"
2,Yelp,"[0.776, 0.704, 0.684, 0.664, 0.776, 0.756, 0.764]","[0.792, 0.756, 0.692, 0.612, 0.808, 0.772, 0.784]","[0.804, 0.808, 0.764, 0.664, 0.816, 0.776, 0.784]"
