SGA values

Datasets, 'Logistic', 'RandomForest', 'DecisionTree', 'KNeighbors','LinearSVM', 'RadialSVM', 'MultinomialNB'
Amazon,"(array([0.77205882, 0.85964912]), array([0.8677686 , 0.75968992]), array([0.81712062, 0.80658436]), array([121, 129]))","(array([0.72058824, 0.79824561]), array([0.80991736, 0.70542636]), array([0.76264591, 0.74897119]), array([121, 129]))","(array([0.7109375 , 0.75409836]), array([0.75206612, 0.71317829]), array([0.73092369, 0.73306773]), array([121, 129]))","(array([0.61842105, 0.7244898 ]), array([0.7768595, 0.5503876]), array([0.68864469, 0.62555066]), array([121, 129]))","(array([0.81679389, 0.88235294]), array([0.88429752, 0.81395349]), array([0.84920635, 0.84677419]), array([121, 129]))","(array([0.74482759, 0.87619048]), array([0.89256198, 0.71317829]), array([0.81203008, 0.78632479]), array([121, 129]))","(array([0.85576923, 0.78082192]), array([0.73553719, 0.88372093]), array([0.79111111, 0.82909091]), array([121, 129]))"
IMDB,"(array([0.88108108, 0.95767196]), array([0.95321637, 0.89162562]), array([0.91573034, 0.92346939]), array([171, 203]))","(array([0.91160221, 0.96891192]), array([0.96491228, 0.92118227]), array([0.9375    , 0.94444444]), array([171, 203]))","(array([0.89189189, 0.96825397]), array([0.96491228, 0.90147783]), array([0.92696629, 0.93367347]), array([171, 203]))","(array([0.71264368, 0.765     ]), array([0.7251462 , 0.75369458]), array([0.71884058, 0.75930521]), array([171, 203]))","(array([0.92696629, 0.96938776]), array([0.96491228, 0.93596059]), array([0.94555874, 0.95238095]), array([171, 203]))","(array([0.93491124, 0.93658537]), array([0.92397661, 0.94581281]), array([0.92941176, 0.94117647]), array([171, 203]))","(array([0.89385475, 0.94358974]), array([0.93567251, 0.90640394]), array([0.91428571, 0.92462312]), array([171, 203]))"
Yelp,"(array([0.77536232, 0.8125    ]), array([0.8359375 , 0.74590164]), array([0.80451128, 0.77777778]), array([128, 122]))","(array([0.73758865, 0.77981651]), array([0.8125    , 0.69672131]), array([0.7732342 , 0.73593074]), array([128, 122]))","(array([0.66887417, 0.72727273]), array([0.7890625 , 0.59016393]), array([0.72401434, 0.65158371]), array([128, 122]))","(array([0.58563536, 0.68115942]), array([0.828125 , 0.3852459]), array([0.68608414, 0.4921466 ]), array([128, 122]))","(array([0.78169014, 0.84259259]), array([0.8671875 , 0.74590164]), array([0.82222222, 0.79130435]), array([128, 122]))","(array([0.71779141, 0.87356322]), array([0.9140625 , 0.62295082]), array([0.80412371, 0.72727273]), array([128, 122]))","(array([0.81896552, 0.75373134]), array([0.7421875 , 0.82786885]), array([0.77868852, 0.7890625 ]), array([128, 122]))"
